# Data format string: '(6E12.4)'
# Data printout from CCMC-simulation: version 1.2
# Data type:  BATSRUS  magnetosphere
# Run name:   Yihua_Zheng_011116_1
# Missing data:          NaN
# Date, time:         2015           3          15  00:00:00
# Output data: field with 61x61=3721 elements
# x           y           z           N           V_x         B_x       
# R_E         R_E         R_E         cm^-3       km/s        nT        
 -1.6427E+02  0.0000E+00 -4.3200E+01  3.4170E+00 -2.9599E+02 -2.1835E+00
 -1.6000E+02  0.0000E+00 -4.3200E+01  3.5294E+00 -2.9535E+02 -2.1991E+00
 -1.5573E+02  0.0000E+00 -4.3200E+01  3.6432E+00 -2.9473E+02 -2.2127E+00
 -1.5147E+02  0.0000E+00 -4.3200E+01  3.7663E+00 -2.9431E+02 -2.2074E+00
 -1.4720E+02  0.0000E+00 -4.3200E+01  3.8910E+00 -2.9395E+02 -2.1945E+00
 -1.4293E+02  0.0000E+00 -4.3200E+01  4.0221E+00 -2.9381E+02 -2.1485E+00
 -1.3867E+02  0.0000E+00 -4.3200E+01  4.1551E+00 -2.9381E+02 -2.0944E+00
 -1.3440E+02  0.0000E+00 -4.3200E+01  4.2925E+00 -2.9408E+02 -2.0225E+00
 -1.3013E+02  0.0000E+00 -4.3200E+01  4.4331E+00 -2.9446E+02 -1.9388E+00
 -1.2587E+02  0.0000E+00 -4.3200E+01  4.5781E+00 -2.9497E+02 -1.8396E+00
 -1.2160E+02  0.0000E+00 -4.3200E+01  4.7333E+00 -2.9544E+02 -1.7316E+00
 -1.1733E+02  0.0000E+00 -4.3200E+01  4.8964E+00 -2.9589E+02 -1.6166E+00
 -1.1307E+02  0.0000E+00 -4.3200E+01  5.0807E+00 -2.9625E+02 -1.4995E+00
 -1.0880E+02  0.0000E+00 -4.3200E+01  5.2747E+00 -2.9656E+02 -1.3815E+00
 -1.0453E+02  0.0000E+00 -4.3200E+01  5.4995E+00 -2.9677E+02 -1.2702E+00
