ra,dec,st_dist
12.308117,-24.136671,54.87
99.419968,-12.985116,84.56
99.419968,-12.985116,84.56
99.44841,-32.339733,122.95
100.007195,-48.541954,90.78
12.776146,-12.927608,205.45
102.877151,40.867756,43.09
103.008438,-33.915562,46.35
103.008438,-33.915562,46.35
103.678436,24.245558,31.19
103.713921,-55.259327,34.83
103.713921,-55.259327,34.83
105.07515,-5.367162,30.01
13.755836,0.789553,121.83
13.755836,0.789553,121.83
108.062378,-38.174541,78.15
14.486255,34.985561,221
14.559246,33.950886,58.21
2.470091,-50.267822,53.6
15.1383,20.292484,285.75
112.951653,17.086046,96.8
113.513252,-22.296066,25.99
113.513252,-22.296066,25.99
116.328957,28.026199,10.34
114.841049,-78.278969,37.73
116.957161,-54.264145,32.57
117.982864,-11.032976,31.55
16.167295,-39.488216,42.41
118.422173,-63.647324,35.16
118.422173,-63.647324,35.16
120.566406,2.334571,68.16
120.869438,-1.162709,53.36
121.915649,31.551319,76.69
121.915649,31.551319,76.69
16.952761,-8.233706,51.42
121.348717,-74.410416,78.61
124.592384,61.460724,60.95
124.599777,-12.632174,12.56
124.599777,-12.632174,12.56
124.599777,-12.632174,12.56
125.708135,1.859323,45.7
125.367233,-39.70541,29.3
17.696762,-66.188164,36.19
128.40271,13.55079,126.79
128.51329,-1.568217,51.97
128.719147,-14.456694,69.87
129.074066,-34.45998,54.91
129.31868,-41.319103,97.51
129.31868,-41.319103,97.51
129.815842,12.960376,83.53
130.604675,4.578097,64.6
130.604675,4.578097,64.6
18.622173,-5.047387,38.71
131.918289,-41.736794,29.14
133.099747,13.233433,85.64
133.099747,13.233433,85.64
133.461685,33.056812,78.23
133.481308,-66.800995,60.99
133.820068,-67.265472,184.8
135.302063,-25.527061,46
20.496313,76.710281,17
20.496313,76.710281,17
20.496313,76.710281,17
138.789169,23.375549,49.02
140.65654,50.603722,66.6
140.339249,14.367923,109.86
140.946198,20.364454,34.47
142.166626,45.601482,85.92
143.938263,34.780743,127.52
143.711395,-12.129546,27.61
143.711395,-12.129546,27.61
20.531721,-26.893103,30.71
144.299286,-43.272205,40.95
20.905149,-41.269802,52.5
147.510406,-49.790268,33.56
147.779388,-43.502789,11.28
21.302153,28.566692,44.88
149.024658,-3.808422,104.24
149.124359,-24.09939,45.74
149.240997,-15.895122,67.94
21.536604,34.5797,37.9
150.406708,-17.333023,211.1
151.669861,17.895103,135.17
152.179749,34.24226,18.3
152.531982,18.186871,73.77
154.588699,12.621108,32.04
154.671066,10.129028,132.8
155.544006,41.22953,38.68
155.980316,-29.645529,21.96
22.504177,-19.604502,81.68
160.702209,-2.183756,34.69
160.702209,-2.183756,34.69
160.901108,-39.058426,43.59
161.087143,-33.577023,28.54
23.334101,29.265148,50.42
23.334101,29.265148,50.42
164.312973,24.142782,98.43
164.262589,-68.667343,86.44
164.698898,1.729216,137.46
164.698898,1.729216,137.46
164.896194,43.814465,689.75
165.867114,-22.093977,72.37
166.185226,-2.513218,140.62
166.441452,44.301559,597.42
166.31279,-10.291301,85.51
167.013824,-77.654854,185
168.638184,25.710384,21.58
169.448135,-23.975414,114.07
170.215698,-23.217342,42.22
170.455597,18.190001,32.48
171.072327,-1.529076,54.88
171.692825,3.006328,18.21
172.125885,43.966579,147.21
172.125885,43.966579,147.21
321.595306,-37.82943,78.8
327.500519,-64.71254,103.63
332.405823,71.314331,56.2
333.026062,29.065811,58.6
353.955353,0.445516,62.56
41.678692,-23.086611,23.39
47.809292,21.097359,50.55
47.809292,21.097359,50.55
47.809292,21.097359,50.55
109.044479,-3.66591,33.19
126.616043,10.080378,106.61
126.616043,10.080378,106.61
126.616043,10.080378,106.61
126.616043,10.080378,106.61
126.616043,10.080378,106.61
16.508533,-22.453154,51.68
16.508533,-22.453154,51.68
166.865433,-19.291489,18.73
166.865433,-19.291489,18.73
176.170685,30.959293,25.88
176.170685,30.959293,25.88
176.170685,30.959293,25.88
194.383163,-65.646461,157.16
201.087662,48.885094,55.5
201.087662,48.885094,55.5
201.150406,-51.504459,111.4
202.605301,-58.664356,136.05
207.580826,-39.900856,112.6
208.466919,-35.314362,65.96
208.466919,-35.314362,65.96
217.327347,-46.463818,24.07
218.21759,-52.646271,32.36
229.572205,-41.42057,91.49
240.481064,-21.980389,156.7
242.182175,-23.685415,146.3
243.174057,-18.875504,14.54
27.526375,-54.464962,168.63
279.221466,61.702503,45.95
296.421967,-0.696645,102.58
326.130554,14.771939,18.13
102.504227,-60.249146,34.04
206.738007,6.350375,31.49
40.639442,-50.800293,17.33
42.98436,-30.81452,31.99
42.98436,-30.81452,31.99
42.98436,-30.81452,31.99
346.869659,21.134251,39.4
346.869659,21.134251,39.4
346.869659,21.134251,39.4
346.869659,21.134251,39.4
316.99245,-5.294575,192.2
316.99245,-5.294575,192.2
191.08432,-8.671344,181
261.208618,-49.948917,879.38
172.121964,1.690636,274.48
129.601257,20.106064,190.04
130.344086,18.933874,189.33
130.056046,19.778811,189.17
129.636749,19.773829,190.21
125.42028,13.49753,199.28
284.985382,-22.293402,696.95
123.381874,16.419609,484.99
169.042007,1.98684,332.46
207.349533,-12.284491,116.84
